
                        S T E P       1


                                INCREMENT     1


 displacements (vx,vy,vz) for set FRONT_READ and time  0.1000000E+01

         1  8.565356E-03  3.172050E+00  4.099295E+00
         3 -8.565356E-03  3.172050E+00 -4.099295E+00

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL_MEMBERS and time  0.1000000E+01

         7   6 -3.660396E-13  9.055399E-10 -9.482719E-13 -1.198804E-12  5.810384E-14  2.702165E-13
         7   7  1.567784E-12  8.865807E-10  1.771435E-12 -6.509592E-13 -6.579206E-13 -6.004812E-15
         7   8 -4.013885E-12  8.849049E-10 -2.103461E-12 -6.400754E-13 -3.671694E-13  3.242598E-13
         8   1  2.824795E-12  4.831128E-10  3.008167E-12 -4.885478E-13 -7.891061E-13  4.983994E-13
         8   2 -3.351519E-12  4.802696E-10 -7.175327E-12 -8.190939E-14 -2.317067E-13  1.681347E-13
         8   3 -1.982999E-12  4.807508E-10  1.213496E-12 -6.154932E-14 -1.196618E-13  5.284235E-13
         8   4  1.617750E-12  4.821443E-10 -4.623025E-12 -9.007218E-14 -4.513040E-13  1.501203E-13
         8   5  2.261833E-12  4.734812E-10  4.338280E-12 -4.437931E-13  5.345423E-13 -9.607699E-14
         8   6 -1.998120E-12  4.725427E-10 -1.410250E-12  1.285405E-14 -1.648054E-12 -1.801444E-14
         8   7 -2.498957E-12  4.711516E-10  2.655280E-12 -3.265117E-14  1.204725E-12 -1.140914E-13
         8   8  2.895368E-12  4.743306E-10  9.785985E-13 -1.510586E-14 -1.969475E-12 -2.401925E-14
         9   1  4.865894E-12 -6.114868E-13  5.045188E+00 -9.616228E-13  3.689206E-13  6.785438E-13
         9   2 -1.397100E-12 -2.931695E-12  5.045188E+00  2.184220E-12 -3.270746E-13  1.861492E-13
         9   3  2.954833E-12  1.545029E-12  5.045188E+00 -1.821241E-12  1.797691E-13 -2.341877E-13
         9   4  1.285359E-12  9.983891E-12  5.045188E+00  2.916480E-12 -4.038236E-13 -9.007218E-14
         9   5  3.038720E-13 -1.234510E-12  5.045188E+00 -3.082324E-12 -4.379760E-13  6.725389E-13
         9   6 -6.116895E-14 -1.606701E-12  5.045188E+00  3.213959E-12 -1.006932E-12  2.401925E-13
         9   7 -1.864877E-12  2.888819E-13  5.045188E+00 -4.124077E-12 -4.471708E-13  2.401925E-13
         9   8  2.520195E-12  1.101098E-11  5.045188E+00  3.856710E-12 -1.117833E-12 -5.104090E-13
        10   1 -1.645988E-12 -2.596820E-12 -5.045188E+00 -6.978634E-13 -5.147250E-13 -3.662935E-13
        10   2 -3.301651E-13 -2.011869E-12 -5.045188E+00  1.590945E-12 -3.336424E-13 -2.401925E-14
        10   3 -2.968120E-12  1.751561E-13 -5.045188E+00 -3.651245E-13 -5.543192E-13  1.122900E-12
        10   4 -4.619070E-13  3.529304E-12 -5.045188E+00  1.174805E-12 -1.876504E-13  9.367507E-13
        10   5  1.480946E-12 -1.563201E-12 -5.045188E+00 -1.465513E-12  1.466675E-12 -4.263417E-13
        10   6  3.354161E-13 -2.084272E-12 -5.045188E+00  1.500607E-12  6.740402E-13  1.200962E-13
        10   7  2.918278E-13  1.542193E-12 -5.045188E+00 -1.106765E-12  1.294788E-12  1.200962E-12
        10   8  4.758615E-14  3.123366E-12 -5.045188E+00  1.133494E-12  7.447843E-13  1.158929E-12
        11   1  5.174595E-13 -3.886872E+00 -5.080532E-01 -3.363164E-13 -5.307339E-13  1.405254E+00
        11   2 -8.695690E-13 -3.886872E+00 -5.080532E-01 -1.322935E-13  6.243597E-13  1.405254E+00
        11   3  4.110641E-13 -3.886872E+00 -5.080532E-01 -8.231753E-13  1.130019E-12  1.405254E+00
        11   4 -3.425045E-12 -3.886872E+00 -5.080532E-01 -6.858621E-13  2.838447E-13  1.405254E+00
        11   5 -1.181601E-12 -3.886872E+00 -5.080532E-01 -4.156925E-13 -8.182964E-13  1.405254E+00
        11   6  6.041375E-13 -3.886872E+00 -5.080532E-01 -1.829591E-15  1.065784E-12  1.405254E+00
        11   7 -1.511689E-12 -3.886872E+00 -5.080532E-01 -1.058958E-12  8.845487E-13  1.405254E+00
        11   8 -1.879324E-12 -3.886872E+00 -5.080532E-01 -5.785261E-13  5.603592E-13  1.405254E+00
        12   1  1.571053E-12  3.886872E+00  5.080532E-01 -1.605771E-12 -2.902130E-13  1.405254E+00
        12   2  1.658395E-13  3.886872E+00  5.080532E-01  5.965405E-13 -2.877267E-13  1.405254E+00
        12   3  5.821945E-13  3.886872E+00  5.080532E-01  1.086543E-12  3.119453E-13  1.405254E+00
        12   4 -2.379937E-12  3.886872E+00  5.080532E-01 -1.709495E-13 -9.512584E-13  1.405254E+00
        12   5  5.724213E-13  3.886872E+00  5.080532E-01 -1.589633E-12 -2.738288E-13  1.405254E+00
        12   6 -1.033611E-12  3.886872E+00  5.080532E-01  5.935851E-13 -8.285702E-13  1.405254E+00
        12   7 -7.430550E-13  3.886872E+00  5.080532E-01  8.463501E-13  4.957137E-13  1.405254E+00
        12   8 -3.714246E-12  3.886872E+00  5.080532E-01 -7.299600E-14 -1.420877E-12  1.405254E+00
        13   1 -1.257309E-14  4.151244E-10  2.556096E-14 -1.639595E-13 -5.416295E-15  1.501907E-13
        13   2  8.255191E-15  4.151116E-10 -1.757327E-14 -1.248344E-13 -3.948691E-15  1.226061E-13
        13   3 -2.394451E-14  4.111380E-10  1.874929E-14 -1.217382E-13 -1.393074E-17  1.582127E-13
        13   4  3.207809E-14  4.111404E-10 -9.312486E-15 -1.018942E-13 -7.660890E-15  1.360231E-13
        13   5 -2.062850E-14  4.146523E-10  3.503399E-15 -1.458982E-13 -1.682040E-15  1.316602E-13
        13   6  1.397226E-14  4.146550E-10 -1.118402E-15 -9.837571E-14 -5.123461E-15  8.007980E-14
        13   7 -3.582743E-14  4.106642E-10 -5.561193E-15 -9.884484E-14  3.639722E-15  1.329034E-13
        13   8  3.300691E-14  4.106821E-10  4.836554E-15 -5.676424E-14 -8.810368E-15  9.584243E-14
        14   1  6.659450E-14 -8.828684E-10  1.352498E-13  5.723336E-15 -5.322572E-14  1.351083E-14
        14   2 -2.685426E-13 -8.829856E-10 -7.385994E-14 -1.735766E-14  4.566694E-14  3.978188E-14
