crank_angle_deg,cycle_time_s,cantera_pressure_pa_abs_min,cantera_pressure_pa_abs_max,wiebe_pressure_pa_abs_min,wiebe_pressure_pa_abs_max,cross_model_pressure_pa_abs_min,cross_model_pressure_pa_abs_max,cantera_pressure_gauge_pa_min,cantera_pressure_gauge_pa_max,wiebe_pressure_gauge_pa_min,wiebe_pressure_gauge_pa_max,cross_model_pressure_gauge_pa_min,cross_model_pressure_gauge_pa_max,cantera_temperature_k_min,cantera_temperature_k_max,wiebe_temperature_k_min,wiebe_temperature_k_max,cross_model_temperature_k_min,cross_model_temperature_k_max,cantera_h_gas_w_m2_k_min,cantera_h_gas_w_m2_k_max,wiebe_h_gas_w_m2_k_min,wiebe_h_gas_w_m2_k_max,cross_model_h_gas_w_m2_k_min,cross_model_h_gas_w_m2_k_max,cantera_wall_heat_flux_w_m2_min,cantera_wall_heat_flux_w_m2_max,wiebe_wall_heat_flux_w_m2_min,wiebe_wall_heat_flux_w_m2_max,cross_model_wall_heat_flux_w_m2_min,cross_model_wall_heat_flux_w_m2_max
114,0.002111111111,183883.658113,213523.557337,186813.107208,214479.367288,183883.658113,214479.367288,82558.658113,112198.557337,85488.107208,113154.367288,82558.658113,113154.367288,392.442403525,427.474172785,400.291091665,443.790913685,392.442403525,443.790913685,319.02522202,376.208101901,316.733549933,373.612952397,316.733549933,376.208101901,-31058.8366673,-15161.9375788,-27912.2158133,-9884.96469876,-31058.8366673,-9884.96469876
115,0.00212962963,184242.256448,214039.919354,187129.932132,214974.271375,184242.256448,214974.271375,82917.256448,112714.919354,85804.932132,113649.271375,82917.256448,113649.271375,391.953100788,426.489398116,399.694122407,442.570963194,391.953100788,442.570963194,319.913654113,377.185071788,317.626267107,374.598663106,317.626267107,377.185071788,-31324.0506411,-15519.2039119,-28209.4810705,-10300.3139064,-31324.0506411,-10300.3139064
116,0.002148148148,184618.437608,214570.242516,187465.329367,215483.759114,184618.437608,215483.759114,83293.437608,113245.242516,86140.329367,114158.759114,83293.437608,114158.759114,391.486217892,425.542212615,399.122669631,441.395099589,391.486217892,441.395099589,320.813918834,378.171336992,318.530436634,375.593435476,318.530436634,378.171336992,-31582.5186371,-15866.7465878,-28499.0271879,-10704.1836009,-31582.5186371,-10704.1836009
117,0.002166666667,185012.141296,215114.516933,187819.204065,216007.794378,185012.141296,216007.794378,83687.141296,113789.516933,86494.204065,114682.794378,83687.141296,114682.794378,391.041104722,424.631433021,398.575968402,440.261903595,391.041104722,440.261903595,321.726250984,379.167099322,319.446297071,376.597469981,319.446297071,379.167099322,-31834.4507848,-16204.8902216,-28781.0969455,-11096.9562638,-31834.4507848,-11096.9562638
118,0.002185185185,185423.307084,215672.723732,188191.462406,216546.333293,185423.307084,216546.333293,84098.307084,114347.723732,86866.462406,115221.333293,84098.307084,115221.333293,390.61713614,423.755927259,398.053284332,439.170017933,390.61713614,439.170017933,322.650869592,380.172538152,320.37407108,377.61094496,320.37407108,380.172538152,-32080.0475302,-16533.9446314,-29055.9220151,-11478.9972215,-32080.0475302,-11478.9972215
119,0.002203703704,185851.874637,216244.835602,188582.011784,217099.324714,185851.874637,217099.324714,84526.874637,114919.835602,87257.011784,115774.324714,84526.874637,115774.324714,390.213710766,422.914611739,397.55391205,438.118144048,390.213710766,438.118144048,323.58797884,381.187811561,321.31396635,378.634017724,321.31396635,381.187811561,-32319.5000436,-16854.2055145,-29323.7234377,-11850.6554222,-32319.5000436,-11850.6554222
120,0.002222222222,186297.783926,216830.817296,188990.760981,217666.710665,186297.783926,217666.710665,84972.783926,115505.817296,87665.760981,116341.710665,84972.783926,116341.710665,389.830249842,422.106448836,397.077173771,437.105039056,389.830249842,437.105039056,324.537768934,382.213057409,322.266176461,379.666825602,322.266176461,382.213057409,-32552.9906067,-17165.9550858,-29584.7120763,-12212.2641707,-32552.9906067,-12212.2641707
121,0.002240740741,186760.975333,217430.62608,189417.620317,218248.426728,186760.975333,218248.426728,85435.975333,116105.62608,88092.620317,116923.426728,85435.975333,116923.426728,389.466196161,421.330444133,396.622417951,436.129512878,389.466196161,436.129512878,325.500416969,383.248394315,323.230881704,380.709486897,323.230881704,383.248394315,-32780.6929807,-17469.4628133,-29839.0890461,-12564.1418246,-32780.6929807,-12564.1418246
122,0.002259259259,187241.389977,218044.212147,189862.501782,218844.4024,187241.389977,218844.4024,85916.389977,116719.212147,88537.501782,117519.4024,85916.389977,117519.4024,389.121013071,420.585645012,396.189018028,435.190425563,389.121013071,435.190425563,326.476087585,384.293922586,324.208249835,381.762101784,324.208249835,384.293922586,-33002.7727548,-17764.9857251,-30087.0461212,-12906.5924547,-33002.7727548,-12906.5924547
123,0.002277777778,187738.96981,218671.518983,190325.319157,219454.561409,187738.96981,219454.561409,86413.96981,117346.518983,89000.319157,118129.561409,86413.96981,118129.561409,388.794183523,419.871138229,395.776371242,434.286684774,388.794183523,434.286684774,327.464933749,385.349725058,325.1984368,382.824753134,325.1984368,385.349725058,-33219.3876779,-18052.7690675,-30328.7661218,-13239.9064686,-33219.3876779,-13239.9064686
124,0.002296296296,188253.657745,219312.4837,190805.988116,220078.821995,188253.657745,220078.821995,86928.657745,117987.4837,89480.988116,118753.821995,86928.657745,118753.821995,388.485209196,419.18604793,395.383897522,433.417243428,388.485209196,433.417243428,328.467097433,386.415867882,326.201587405,383.897507282,326.201587405,386.415867882,-33430.6879732,-18333.0468326,-30564.4232806,-13564.3612025,-33430.6879732,-13564.3612025
125,0.002314814815,188785.397779,219967.037331,191304.426319,220717.097157,188785.397779,220717.097157,87460.397779,118642.037331,89979.426319,119392.097157,87460.397779,119392.097157,388.193609659,418.529533832,395.01103845,432.581097493,388.193609659,432.581097493,329.482710243,387.492401248,327.217835948,384.980414718,327.217835948,387.492401248,-33636.8166368,-18606.0422417,-30794.1835906,-13880.2214818,-33636.8166368,-13880.2214818
126,0.002333333333,189334.135104,220635.10519,191820.553487,221369.294874,189334.135104,221369.294874,88009.135104,119310.10519,90495.553487,120044.294874,88009.135104,120044.294874,387.918921641,417.900789518,394.65725627,431.777283903,387.918921641,431.777283903,330.511894017,388.579360162,328.247306807,386.073510754,328.247306807,388.579360162,-33837.909711,-18871.9682033,-31018.2051355,-14187.7401517,-33837.909711,-14187.7401517
127,0.002351851852,189899.81621,221316.607203,192354.291471,222035.318289,189899.81621,222035.318289,88574.81621,119991.607203,91029.291471,120710.318289,88574.81621,120710.318289,387.660698335,417.299040841,394.322032974,431.004878615,387.660698335,431.004878615,331.554761378,389.676765174,329.290115001,387.176816102,329.290115001,389.676765174,-34034.0965455,-19131.0277452,-31236.6384026,-14487.1585803,-34034.0965455,-14487.1585803
128,0.00237037037,190482.388971,222011.457596,192905.564309,222715.065869,190482.388971,222715.065869,89157.388971,120686.457596,91580.564309,121390.065869,89157.388971,121390.065869,387.418508444,416.723544419,394.004869428,430.26299477,387.418508444,430.26299477,332.611416252,390.784622356,330.346366705,388.290337425,330.346366705,390.784622356,-34225.5001031,-19383.4144251,-31449.6265794,-14778.7071349,-34225.5001031,-14778.7071349
129,0.002388888889,191081.802727,222719.565353,193474.298267,223408.431536,191081.802727,223408.431536,89756.802727,121394.565353,92149.298267,122083.431536,89756.802727,122083.431536,387.191935674,416.173586224,393.705284551,429.550780972,387.191935674,429.550780972,333.681954367,391.902924134,331.416159731,389.414067824,331.416159731,391.902924134,-34412.2371718,-19629.3127173,-31657.3058357,-15062.6056332,-34412.2371718,-15062.6056332
130,0.002407407407,191698.008348,223440.834379,194060.421884,224115.304774,191698.008348,224115.304774,90373.008348,122115.834379,92735.421884,122790.304774,90373.008348,122790.304774,386.980578124,415.648480255,393.42281454,428.867419662,386.980578124,428.867419662,334.766463697,393.031649774,332.499583994,390.547987293,332.499583994,393.031649774,-34594.4185919,-19868.8983802,-31859.8055903,-15339.0637709,-34594.4185919,-15339.0637709
131,0.002425925926,192330.958292,224175.163614,194663.865992,224835.570706,192330.958292,224835.570706,91005.958292,122850.163614,93338.865992,123510.570706,91005.958292,123510.570706,386.784047698,415.147567286,393.157012144,428.212125596,386.784047698,428.212125596,335.865024889,394.170765797,333.596721919,391.69206311,333.596721919,394.170765797,-34772.1494744,-20102.3388031,-32057.2487645,-15608.2815267,-34772.1494744,-15608.2815267
132,0.002444444444,192980.606656,224922.447118,195284.563738,225569.110148,192980.606656,225569.110148,91655.606656,123597.447118,93959.563738,124244.110148,91655.606656,124244.110148,386.601969547,414.670213694,392.907445966,427.584144401,386.601969547,427.584144401,336.977711661,395.320226346,334.707648844,392.846250198,334.707648844,395.320226346,-34945.5294072,-20329.7933343,-32249.7520217,-15870.4495456,-34945.5294072,-15870.4495456
133,0.002462962963,193646.909211,225682.57413,195922.450594,226315.799642,193646.909211,226315.799642,92321.909211,124357.57413,94597.450594,124990.799642,92321.909211,124990.799642,386.433981542,414.215810347,392.673699813,426.98275122,386.433981542,426.98275122,338.104591163,396.479973504,335.832433379,394.010491436,335.832433379,396.479973504,-35114.6526516,-20551.4135919,-32437.4259949,-16125.7495021,-35114.6526516,-16125.7495021
134,0.002481481481,194329.823437,226455.429103,196577.464361,227075.511457,194329.823437,227075.511457,93004.823437,125130.429103,95252.464361,125750.511457,93004.823437,125750.511457,386.279733772,413.78377156,392.455372077,426.407249435,386.279733772,426.407249435,339.245724326,397.649937581,336.971137747,395.18471793,336.971137747,397.649937581,-35279.6083276,-20767.3437578,-32620.3755025,-16374.3544442,-35279.6083276,-16374.3544442
135,0.0025,195029.308538,227240.891711,197249.545163,227848.11357,195029.308538,227848.11357,93704.308538,125915.891711,95924.545163,126523.11357,93704.308538,126523.11357,386.13888807,413.373534112,392.252075144,425.85696946,386.13888807,425.85696946,340.401166162,398.830037347,338.123818094,396.368849236,338.123818094,398.830037347,-35440.4805895,-20977.7208546,-32798.6997517,-16616.4291188,-35440.4805895,-16616.4291188
136,0.002518518519,195745.325463,228038.83683,197938.635431,228633.469625,195745.325463,228633.469625,94420.325463,126713.83683,96613.635431,127308.469625,94420.325463,127308.469625,386.011117558,412.984556318,392.063434843,425.331267603,386.011117558,425.331267603,341.570966061,400.020180229,339.29052477,397.562793554,339.29052477,400.020180229,-35597.3487927,-21182.6750092,-32972.4925317,-16852.1302797,-35597.3487927,-16852.1302797
137,0.002537037037,196477.836901,228849.134497,198644.679886,229431.438861,196477.836901,229431.438861,95152.836901,127524.134497,97319.679886,128106.438861,95152.836901,128106.438861,385.896106218,412.616317147,391.889089908,424.829524989,385.896106218,424.829524989,342.755168049,401.220262472,340.471302593,398.76644787,340.471302593,401.220262472,-35750.2876506,-21382.3296999,-33141.8423968,-17081.6069787,-35750.2876506,-17081.6069787
138,0.002555555556,197226.807284,229671.649836,199367.625509,230241.876019,197226.807284,230241.876019,95901.807284,128346.649836,98042.625509,128916.876019,95901.807284,128916.876019,385.793548478,412.268315398,391.728691482,424.351146547,385.793548478,424.351146547,343.953811027,402.430169241,341.666191085,399.979698062,341.666191085,402.430169241,-35899.3673833,-21576.801991,-33306.8328384,-17305.0008419,-35899.3673833,-17305.0008419
139,0.002574074074,197992.20277,230506.242965,200107.421502,231064.631225,197992.20277,231064.631225,96667.20277,129181.242965,98782.421502,129739.631225,96667.20277,129739.631225,385.703148826,411.940068916,391.581902634,423.895560052,385.703148826,423.895560052,345.166928987,403.649774705,342.875224682,401.202418963,342.875224682,403.649774705,-36044.6538584,-21766.2027542,-33467.5424485,-17522.4463295,-36044.6538584,-17522.4463295
140,0.002592592593,198773.991223,231352.768867,200864.019246,231899.550062,198773.991223,231899.550062,97448.991223,130027.768867,99539.019246,130574.550062,97448.991223,130574.550062,385.624621425,411.631113853,391.448398005,423.462215212,385.624621425,423.462215212,346.394551199,404.878942055,344.098432922,402.434474635,344.098432922,404.878942055,-36186.208723,-21950.6368768,-33624.045054,-17734.0709819,-36186.208723,-17734.0709819
141,0.002611111111,199572.142183,232211.077243,201637.372246,232746.474201,199572.142183,232746.474201,98247.142183,130886.077243,100312.372246,131421.474201,98247.142183,131421.474201,385.557689765,411.341003966,391.327863728,423.050582815,385.557689765,423.050582815,347.636702385,406.117523501,345.335840612,403.675719265,345.335840612,406.117523501,-36324.089529,-22130.2034584,-33776.409792,-17939.9956528,-36324.089529,-17939.9956528
142,0.00262962963,200386.626825,233081.012327,202427.436071,233605.239065,200386.626825,233605.239065,99061.626825,131756.012327,101102.436071,132280.239065,99061.626825,132280.239065,385.502086306,411.069309956,391.219996033,422.660153918,385.502086306,422.660153918,348.89340286,407.365360218,346.587467968,404.92599467,346.587467968,407.365360218,-36458.3498505,-22304.9959966,-33924.7014398,-18140.3347275,-36458.3498505,-18140.3347275
143,0.002648148148,201217.417909,233962.412675,203234.168284,234475.674509,201217.417909,234475.674509,99892.417909,132637.412675,101909.168284,133150.674509,99892.417909,133150.674509,385.457552157,410.815618843,391.124501271,422.290439073,385.457552157,422.290439073,350.164668655,408.622282235,347.85333074,406.185131229,347.85333074,408.622282235,-36589.0393944,-22475.1025607,-34068.9804583,-18335.1963304,-36589.0393944,-18335.1963304
144,0.002666666667,202064.489724,234855.110923,204057.528357,235357.604757,202064.489724,235357.604757,100739.489724,133530.110923,102732.528357,134032.604757,100739.489724,134032.604757,385.423836748,410.579533369,391.041095627,421.940967604,385.423836748,421.940967604,351.450511615,409.888108303,349.133440295,407.452947953,349.133440295,409.888108303,-36716.2041043,-22640.6059561,-34209.3030939,-18524.6825193,-36716.2041043,-18524.6825193
145,0.002685185185,202927.818015,235758.933509,204897.477588,236250.848115,202927.818015,236250.848115,101602.818015,134433.933509,103572.477588,134925.848115,101602.818015,134925.848115,385.400697526,410.360671437,390.969504753,421.611286916,385.400697526,421.611286916,352.75093948,411.162645697,350.427803702,408.729252296,350.427803702,411.162645697,-36839.8862577,-22801.5838779,-34345.7214925,-18708.8894687,-36839.8862577,-18708.8894687
146,0.002703703704,203807.379909,236673.700361,205753.978999,237155.216636,203807.379909,237155.216636,102482.379909,135348.700361,104428.978999,135830.216636,102482.379909,135830.216636,385.387899655,410.15866558,390.909463411,421.300961842,385.387899655,421.300961842,354.065955937,412.445689974,351.736423781,410.0138399,351.736423781,412.445689974,-36960.1245569,-22958.1090556,-34478.283806,-18887.9076423,-36960.1245569,-18887.9076423
147,0.002722222222,204703.153802,237599.224545,206626.997222,238070.515756,204703.153802,238070.515756,103378.153802,136274.224545,105301.997222,136745.515756,103378.153802,136745.515756,385.385215723,409.973162361,390.860715131,421.009574024,385.385215723,421.009574024,355.395560668,413.737024682,353.05929912,411.306494297,353.05929912,413.737024682,-37076.9542143,-23110.2494214,-34607.0342923,-19061.8219544,-37076.9542143,-19061.8219544
148,0.002740740741,205615.119267,238535.311881,207516.498381,238996.543888,205615.119267,238996.543888,104290.119267,137210.311881,106191.498381,137671.543888,104290.119267,137671.543888,385.392425464,409.803821975,390.823011874,420.736721325,385.392425464,420.736721325,356.739749335,415.036421013,354.396424084,412.606986556,354.396424084,415.036421013,-37190.4070313,-23258.0682062,-34732.0134079,-19230.7119216,-37190.4070313,-19230.7119216
149,0.002759259259,206543.256963,239481.760505,208422.449953,239933.091974,206543.256963,239933.091974,105218.256963,138156.760505,107097.449953,138608.091974,105218.256963,138608.091974,385.409315477,409.650317924,390.796113717,420.482017272,385.409315477,420.482017272,358.098513534,416.343637402,355.747788788,413.91507487,355.747788788,416.343637402,-37300.5114719,-23401.6240114,-34853.2578952,-19394.6518045,-37300.5114719,-19394.6518045
150,0.002777777778,207487.548495,240438.360393,209344.820623,240879.942991,207487.548495,240879.942991,106162.548495,139113.360393,108019.820623,139554.942991,106162.548495,139554.942991,385.435678958,409.512336465,390.779788532,420.245090531,385.435678958,420.245090531,359.471840794,417.658419057,357.11337905,415.230504087,357.11337905,417.658419057,-37407.2927305,-23540.9709604,-34970.8008623,-19553.71074,-37407.2927305,-19553.71074
151,0.002796296296,208447.976262,241404.892831,210283.580118,241836.871406,208447.976262,241836.871406,107122.976262,140079.892831,108958.580118,140511.871406,107122.976262,140511.871406,385.471315433,409.389576198,390.773811681,420.025584399,385.471315433,420.025584399,360.859714498,418.980497431,358.493176315,416.553005167,358.493176315,418.980497431,-37510.7727944,-23676.1588011,-35084.671858,-19707.9528649,-37510.7727944,-19707.9528649
152,0.002814814815,209424.523297,242381.130417,211238.698997,242803.642577,209424.523297,242803.642577,108099.523297,141056.130417,109913.698997,141478.642577,108099.523297,141478.642577,385.516030721,409.281747679,390.777965718,419.823156312,385.516030721,419.823156312,362.26211378,420.309590305,359.887157514,417.882294576,359.887157514,420.309590305,-37610.9704668,-23807.2329996,-35194.8969396,-19857.4374353,-37610.9704668,-19857.4374353
153,0.002833333333,210417.173091,243367.725964,212210.082047,243780.012099,210417.173091,243780.012099,109092.173091,142042.725964,110885.082047,142455.012099,109092.173091,142455.012099,385.569636678,409.188573044,390.792040087,419.637437617,385.569636678,419.637437617,363.679013414,421.645401146,361.295222637,419.218073603,361.295222637,421.645401146,-37707.9014174,-23934.2348268,-35301.4987367,-20002.2293019,-37707.9014174,-20002.2293019
154,0.002851851852,211425.909397,244368.775712,213197.766625,244769.290131,211425.909397,244769.290131,110100.909397,143043.775712,111872.766625,143444.290131,110100.909397,143444.290131,385.63195022,409.109785656,390.815830834,419.468152882,385.63195022,419.468152882,365.110383646,422.987616195,362.717410649,420.560027595,362.717410649,422.987616195,-37801.5783405,-24057.2014376,-35404.4965074,-20142.3677953,-37801.5783405,-20142.3677953
155,0.00287037037,212450.716017,245378.831916,214201.724625,245769.153256,212450.716017,245769.153256,111125.716017,144053.831916,112876.724625,144444.153256,111125.716017,144444.153256,385.702793525,409.045129774,390.849140312,419.314999378,385.702793525,419.314999378,366.556190022,424.335905017,364.153684141,421.907825098,364.153684141,424.335905017,-37892.010925,-24176.1659434,-35503.9061913,-20277.898128,-37892.010925,-20277.898128
156,0.002888888889,213491.576549,246397.625471,215221.927911,246777.883124,213491.576549,246777.883124,112166.576549,145072.625471,113896.927911,145452.883124,112166.576549,145452.883124,385.781993791,408.994360219,390.89177689,419.177686857,385.781993791,419.177686857,368.016393142,425.689919595,365.604000511,423.261116908,365.604000511,425.689919595,-37979.2058897,-24291.1574791,-35599.7404549,-20408.8610029,-37979.2058897,-20408.8610029
157,0.002907407407,214548.474152,247424.874005,216258.34804,247795.191765,214548.474152,247795.191765,113223.474152,146099.874005,114933.34804,146470.191765,113223.474152,146470.191765,385.868213747,408.957242085,390.942469195,419.055937183,385.868213747,419.055937183,369.490948443,427.042970798,367.06831171,424.613226462,367.06831171,427.042970798,-38063.1027943,-24402.20126,-35691.9393634,-20535.2926886,-38063.1027943,-20535.2926886
158,0.002925925926,215599.69884,248437.811107,217289.439855,248798.404729,215599.69884,248798.404729,114274.69884,147112.811107,115964.439855,147473.404729,114274.69884,147473.404729,385.955762442,408.929599744,390.995903864,418.946435615,385.955762442,418.946435615,370.951847294,428.364477228,368.518792773,425.933641913,368.518792773,428.364477228,-38143.3882717,-24508.9370266,-35780.1706028,-20656.7918777,-38143.3882717,-20656.7918777
159,0.002944444444,216635.48288,249426.704258,218305.515622,249777.830249,216635.48288,249777.830249,115310.48288,148101.704258,116980.515622,148452.830249,115310.48288,148452.830249,386.04420143,408.90953372,391.051643526,418.847610824,386.04420143,418.847610824,372.38654985,429.6526406,369.942998839,427.219763659,369.942998839,429.6526406,-38220.0212534,-24611.200716,-35864.3970124,-20773.1832437,-38220.0212534,-20773.1832437
160,0.002962962963,217656.344145,250392.668213,219307.093317,250734.578604,217656.344145,250734.578604,116331.344145,149067.668213,117982.093317,149409.578604,116331.344145,149409.578604,386.133837486,408.897055419,391.109944453,418.759369419,386.133837486,418.759369419,373.795786478,430.928544255,371.341670486,428.473017776,371.341670486,430.928544255,-38293.0015121,-24709.0021581,-35944.6252616,-20884.4897092,-38293.0015121,-20884.4897092
161,0.002981481481,218662.812824,251336.735383,220294.702782,251669.753793,218662.812824,251669.753793,117337.812824,150011.735383,118969.702782,150344.753793,117337.812824,150344.753793,386.224969569,408.892183794,391.171057487,418.681630213,386.224969569,418.681630213,375.180298051,432.172212548,372.715557777,429.694815577,372.715557777,432.172212548,-38362.3291154,-24802.3501875,-36020.8619931,-20990.7326082,-38362.3291154,-20990.7326082
162,0.003,219655.431318,252260.08201,221268.885658,252584.45325,219655.431318,252584.45325,118330.431318,150935.08201,119943.885658,151259.45325,118330.431318,151259.45325,386.317889476,408.894945204,391.235228564,418.614323839,386.317889476,418.614323839,376.540835838,433.385145056,374.065420208,430.886553603,374.065420208,433.385145056,-38428.0042712,-24891.2525862,-36093.1136775,-21091.931647,-38428.0042712,-21091.931647
163,0.003018518519,220634.754171,253163.803932,222230.195337,253479.76767,220634.754171,253479.76767,119309.754171,151838.803932,120905.195337,152154.76767,119309.754171,152154.76767,386.412882456,408.905373282,391.302699218,418.557392382,386.412882456,418.557392382,377.878161434,434.568743153,375.392026677,432.049613722,375.392026677,434.568743153,-38490.0271794,-24975.7160249,-36161.3864727,-21188.1048648,-38490.0271794,-21188.1048648
164,0.003037037037,221601.348026,254048.990347,223179.196954,254356.780924,221601.348026,254356.780924,120276.348026,152723.990347,121854.196954,153031.780924,120276.348026,153031.780924,386.510227809,408.923508827,391.373707067,418.510789054,386.510227809,418.510789054,379.193046707,435.724394562,376.696155498,433.185363335,376.696155498,435.724394562,-38548.3978892,-25055.7460036,-36225.6860885,-21279.2685906,-38548.3978892,-21279.2685906
165,0.003055555556,222555.791613,254916.723804,224116.467399,255216.570088,222555.791613,255216.570088,121230.791613,153591.723804,122791.467399,153891.570088,121230.791613,153891.570088,386.610199448,408.9493997,391.448486283,418.474477882,386.610199448,418.474477882,380.486273797,436.853473467,377.978594432,434.29515566,377.978594432,436.853473467,-38603.1161599,-25131.3467903,-36286.0176552,-21365.4373998,-38603.1161599,-21365.4373998
166,0.003074074074,223498.675771,255768.080275,225040.832874,256060.205831,223498.675771,256060.205831,122173.675771,154443.080275,123715.832874,154735.205831,122173.675771,154735.205831,386.713066455,408.983100734,391.52726804,418.448433395,386.713066455,418.448433395,381.758635139,437.957340719,379.240140902,435.380330116,379.240140902,437.957340719,-38654.1813274,-25202.5213598,-36342.3855964,-21446.6240875,-38654.1813274,-21446.6240875
167,0.003092592593,224430.603482,256604.129326,225944.08363,256888.751988,224430.603482,256888.751988,123105.603482,155279.129326,124619.08363,155563.751988,123105.603482,155563.751988,386.819093601,409.024673659,391.610280951,418.432640405,386.819093601,418.432640405,383.0109335,439.037344146,380.481601974,436.442212788,380.481601974,439.037344146,-38701.5921735,-25269.27133,-36394.7935054,-21522.8395979,-38701.5921735,-21522.8395979
168,0.003111111111,225352.189958,257425.934352,226837.623689,257703.266151,225352.189958,257703.266151,124027.189958,156100.934352,125512.623689,156378.266151,124027.189958,156378.266151,386.92854186,409.07418703,391.697751491,418.427093807,386.92854186,418.427093807,384.243982084,440.094818923,381.703794264,437.482116946,381.703794264,440.094818923,-38745.3467995,-25331.5968977,-36443.2440243,-21594.0929463,-38745.3467995,-21594.0929463
169,0.00312962963,226261.616399,258234.552901,227722.078089,258504.800017,226261.616399,258504.800017,124936.616399,156909.552901,126397.078089,157179.800017,124936.616399,157179.800017,387.041668891,409.131716175,391.789904398,418.431798304,387.041668891,418.431798304,385.458604626,441.131088051,382.907544291,438.501343657,382.907544291,441.131088051,-38785.4425025,-25389.4967725,-36487.7387274,-21660.3911961,-38785.4425025,-21660.3911961
170,0.003148148148,227153.104073,259031.037056,228598.083928,259294.399788,227153.104073,259294.399788,125828.104073,157706.037056,127273.083928,157969.399788,125828.104073,157969.399788,387.158729516,409.197308966,391.886963068,418.446768211,387.158729516,418.446768211,386.655556278,442.147462867,384.093688672,439.501182422,384.093688672,442.147462867,-38821.8756541,-25442.9761061,-36528.2780061,-21721.7394041,-38821.8756541,-21721.7394041
171,0.003166666667,228034.572441,259816.434064,229466.290591,260073.106641,228034.572441,260073.106641,126709.572441,158491.434064,128141.290591,158748.106641,126709.572441,158748.106641,387.279976172,409.271087267,391.989149931,418.472027264,387.279976172,418.472027264,387.834922992,443.145243887,385.263074345,440.482911892,385.263074345,443.145243887,-38854.6415822,-25492.0227435,-36564.8609568,-21778.1405626,-38854.6415822,-21778.1405626
172,0.003185185185,228908.529447,260591.786641,230327.360001,260841.957246,228908.529447,260841.957246,127583.529447,159266.786641,129002.360001,159516.957246,127583.529447,159516.957246,387.405659347,409.353146439,392.096686811,418.507608455,387.405659347,418.507608455,388.988121875,444.125721177,386.416558813,441.447800609,386.416558813,444.125721177,-38883.734454,-25536.6305299,-36597.4852704,-21829.5955399,-38883.734454,-21829.5955399
173,0.003203703704,229775.652381,261358.133392,231181.966904,261601.984334,229775.652381,261601.984334,128450.652381,160033.133392,129856.966904,160276.984334,128450.652381,160276.984334,387.536028005,409.443588476,392.209795276,418.553553874,387.536028005,418.553553874,390.126520168,445.090174875,387.555010431,442.397107793,387.555010431,445.090174875,-38909.1471611,-25576.7915417,-36626.1471235,-21876.1030173,-38909.1471611,-21876.1030173
174,0.003222222222,230636.631693,262116.509585,232030.799183,262354.217304,230636.631693,262354.217304,129311.631693,160791.509585,130705.799183,161029.217304,129311.631693,161029.217304,387.671329987,409.542521988,392.328696969,418.609914568,387.671329987,418.609914568,391.250995549,446.039876164,388.679308714,443.33208414,388.679308714,446.039876164,-38930.8712055,-25612.4960105,-36650.8410711,-21917.6594239,-38930.8712055,-21917.6594239
175,0.003240740741,231492.171305,262867.947786,232874.558196,263099.68286,231492.171305,263099.68286,130167.171305,161542.947786,131549.558196,161774.68286,130167.171305,161774.68286,387.811812397,409.650062192,392.453613933,418.676750416,387.811812397,418.676750416,392.362437507,446.97608803,389.790344672,444.258435615,389.790344672,446.97608803,-38948.8965868,-25643.7322452,-36671.5599393,-21954.2588685,-38948.8965868,-21954.2588685
176,0.003259259259,232342.988976,263613.478527,233713.95915,263839.405676,232342.988976,263839.405676,131017.988976,162288.478527,132388.95915,162514.405676,131017.988976,162514.405676,387.957721974,409.76633091,392.584768907,418.754130004,387.957721974,418.754130004,393.461747694,447.900066062,390.889021183,445.178830069,390.889021183,447.900066062,-38963.2116895,-25670.4865517,-36688.2947189,-21985.8930684,-38963.2116895,-21985.8930684
177,0.003277777778,233189.816679,264354.130986,234549.731493,264574.409076,233189.816679,264574.409076,131864.816679,163029.130986,133224.731493,163249.409076,131864.816679,163249.409076,388.109305439,409.891456569,392.722385622,418.842130524,388.109305439,418.842130524,394.549840314,448.813059234,391.976253382,446.088107725,391.976253382,448.813059234,-38973.8031706,-25692.7431492,-36701.0344582,-22012.5512751,-38973.8031706,-22012.5512751
178,0.003296296296,234033.401031,265090.933684,235382.619349,265305.715717,234033.401031,265305.715717,132708.401031,163765.933684,134057.619349,163980.715717,132708.401031,163980.715717,388.266809827,410.02557421,392.866689073,418.940837673,388.266809827,418.940837673,395.627642546,449.71631071,393.04863982,446.987507739,393.04863982,449.71631071,-38980.6558468,-25710.484084,-36709.7661555,-22034.220197,-38980.6558468,-22034.220197
179,0.003314814815,234874.503738,265824.915169,236213.381968,266034.348269,234874.503738,266034.348269,133549.503738,164499.915169,134888.381968,164709.348269,133549.503738,164709.348269,388.430482798,410.168825502,393.017905772,419.050345565,388.430482798,419.050345565,396.696095546,450.61105861,394.106786508,447.878264003,394.106786508,450.61105861,-38983.7525808,-25723.6891399,-36714.4746501,-22050.8839177,-38983.7525808,-22050.8839177
180,0.003333333333,235713.902079,266557.104687,237042.794217,266761.330078,235713.902079,266761.330078,134388.902079,165232.104687,135717.794217,165436.330078,134388.902079,165436.330078,388.600572925,410.321358753,393.17626399,419.170756648,388.600572925,419.170756648,397.756154047,451.498536748,395.156520722,448.76160587,395.156520722,451.498536748,-38983.0741656,-25732.3357455,-36715.142511,-22062.5238117,-38983.0741656,-22062.5238117
