crank_angle_deg,cycle_time_s,cantera_pressure_pa_abs_min,cantera_pressure_pa_abs_max,wiebe_pressure_pa_abs_min,wiebe_pressure_pa_abs_max,cross_model_pressure_pa_abs_min,cross_model_pressure_pa_abs_max,cantera_pressure_gauge_pa_min,cantera_pressure_gauge_pa_max,wiebe_pressure_gauge_pa_min,wiebe_pressure_gauge_pa_max,cross_model_pressure_gauge_pa_min,cross_model_pressure_gauge_pa_max,cantera_temperature_k_min,cantera_temperature_k_max,wiebe_temperature_k_min,wiebe_temperature_k_max,cross_model_temperature_k_min,cross_model_temperature_k_max,cantera_h_gas_w_m2_k_min,cantera_h_gas_w_m2_k_max,wiebe_h_gas_w_m2_k_min,wiebe_h_gas_w_m2_k_max,cross_model_h_gas_w_m2_k_min,cross_model_h_gas_w_m2_k_max,cantera_wall_heat_flux_w_m2_min,cantera_wall_heat_flux_w_m2_max,wiebe_wall_heat_flux_w_m2_min,wiebe_wall_heat_flux_w_m2_max,cross_model_wall_heat_flux_w_m2_min,cross_model_wall_heat_flux_w_m2_max
0,0.0,319299.345515,548620.174671,320790.312049,564740.968218,319299.345515,564740.968218,217974.345515,447295.174671,219465.312049,463415.968218,217974.345515,463415.968218,1211.97921287,1373.23091181,1290.00984253,1452.66221475,1211.97921287,1452.66221475,285.547742056,412.084306075,277.131645044,409.414195666,277.131645044,412.084306075,210442.750178,370146.861988,226252.466373,400119.015628,210442.750178,400119.015628
1,1.8518519e-05,315152.294112,539243.952057,316632.310179,555292.12686,315152.294112,555292.12686,213827.294112,437918.952057,215307.310179,453967.12686,213827.294112,453967.12686,1207.74547532,1367.2945712,1285.77713607,1447.02047178,1207.74547532,1447.02047178,283.101489631,407.374712836,274.721952363,404.763361576,274.721952363,407.374712836,207441.335583,363498.244708,223146.332829,393278.468311,207441.335583,393278.468311
2,3.7037037e-05,310675.000583,529065.469134,312142.684103,545017.341677,310675.000583,545017.341677,209350.000583,427740.469134,210817.684103,443692.341677,209350.000583,443692.341677,1203.20076031,1360.85225135,1281.23500641,1440.90064233,1203.20076031,1440.90064233,280.43912467,402.217039163,272.09979381,399.662962726,272.09979381,402.217039163,204215.983804,356304.869672,219806.489809,385862.266298,204215.983804,385862.266298
3,5.5555556e-05,305904.783064,518093.499719,307354.96023,533924.720686,305904.783064,533924.720686,204579.783064,416768.499719,206029.96023,432599.720686,204579.783064,432599.720686,1198.36766226,1353.88718777,1276.40368044,1434.28619411,1198.36766226,1434.28619411,277.580542014,396.607159335,269.282466199,394.108805137,269.282466199,396.607159335,200792.787765,348572.950918,216256.996921,377875.667492,200792.787765,377875.667492
4,7.4074074e-05,300902.299763,506351.434144,302323.322056,522035.680551,300902.299763,522035.680551,199577.299763,405026.434144,200998.322056,420710.680551,199577.299763,420710.680551,1193.28938857,1346.38788608,1271.32156416,1427.16461933,1193.28938857,1427.16461933,274.560395228,390.547786124,266.300041657,388.102716513,266.300041657,390.547786124,197213.818413,340318.609764,212536.567665,369333.07251,197213.818413,369333.07251
5,9.2592593e-05,295770.988138,493876.842135,297136.136002,509386.136447,295770.988138,509386.136447,194445.988138,392551.842135,195811.136002,408061.136447,194445.988138,408061.136447,1188.0485125,1338.34827362,1266.05881933,1419.52841469,1188.0485125,1419.52841469,271.44077932,384.048464141,263.204108262,381.653347439,263.204108262,384.048464141,193550.443925,331567.578504,208708.181823,360258.878312,193550.443925,360258.878312
6,0.000111111111,291036.053415,480721.600804,291994.748454,496025.373194,291036.053415,496025.373194,189711.053415,379396.600804,190669.748454,394700.373194,189711.053415,394700.373194,1183.01500215,1329.76836525,1260.79431297,1411.37483499,1183.01500215,1411.37483499,268.562486265,377.125917481,260.117188892,374.775837652,260.117188892,377.125917481,190146.269291,322355.303979,204915.191507,350686.722554,190146.269291,350686.722554
7,0.00012962963,286345.622916,466950.576296,287285.246525,482017.105709,286345.622916,482017.105709,185020.622916,365625.576296,185960.246525,380692.105709,185020.622916,380692.105709,1177.70402302,1320.65426939,1255.40011663,1402.70724232,1177.70402302,1402.70724232,265.727207402,369.803687105,257.326774566,367.492680059,257.326774566,369.803687105,186727.577668,312726.066835,201357.068098,340660.272301,186727.577668,340660.272301
8,0.000148148148,281670.827406,452640.867441,282560.749529,467437.839707,281670.827406,467437.839707,180345.827406,351315.867441,181235.749529,366112.839707,180345.827406,366112.839707,1172.30869336,1311.01869364,1249.88689038,1393.53499449,1172.30869336,1393.53499449,262.889954757,362.112110511,254.520616026,359.833237796,254.520616026,362.112110511,183315.450848,302732.493581,197774.917081,330232.133784,183315.450848,330232.133784
9,0.000166666667,277909.615896,437880.867016,278797.8961,452375.122229,277909.615896,452375.122229,176584.615896,336555.867016,177472.8961,351050.122229,176584.615896,351050.122229,1164.97637615,1300.88152291,1243.02593808,1383.8735254,1164.97637615,1383.8735254,260.94413177,354.088252807,252.539065436,351.833239268,252.539065436,354.088252807,180045.286416,292434.945472,194504.281816,319462.672124,180045.286416,319462.672124
10,0.000185185185,274170.157096,422769.220437,275198.231588,436926.426017,274170.157096,436926.426017,172845.157096,321444.220437,173873.231588,335601.426017,172845.157096,335601.426017,1155.4123306,1290.27052772,1233.33061415,1373.74481117,1155.4123306,1373.74481117,259.261652089,345.77582433,250.938668036,343.534630089,250.938668036,345.77582433,176404.824932,281900.838774,190899.493894,308419.28964,176404.824932,308419.28964
11,0.000203703704,270394.276783,407413.799923,271621.164514,421198.153676,270394.276783,421198.153676,169069.276783,306088.799923,170296.164514,319873.153676,169069.276783,319873.153676,1143.90136836,1279.22228153,1221.54188152,1363.1784424,1143.90136836,1363.1784424,257.757151115,337.225143796,249.554523767,334.985481637,249.554523767,337.225143796,172432.140327,271203.974533,186988.054465,297175.857938,172432.140327,297175.857938
12,0.000222222222,266588.820276,391930.807346,268055.84184,405304.537173,266588.820276,405304.537173,165263.820276,290605.807346,166730.84184,303979.537173,165263.820276,303979.537173,1130.40284555,1267.78337366,1207.8620651,1352.21240808,1130.40284555,1352.21240808,256.42114763,328.493206608,248.362474793,326.23992422,248.362474793,328.493206608,168158.445426,260423.952559,182795.558869,285811.983024,168158.445426,285811.983024
