crank_angle_deg,cycle_time_s,cantera_pressure_pa_abs_min,cantera_pressure_pa_abs_max,wiebe_pressure_pa_abs_min,wiebe_pressure_pa_abs_max,cross_model_pressure_pa_abs_min,cross_model_pressure_pa_abs_max,cantera_pressure_gauge_pa_min,cantera_pressure_gauge_pa_max,wiebe_pressure_gauge_pa_min,wiebe_pressure_gauge_pa_max,cross_model_pressure_gauge_pa_min,cross_model_pressure_gauge_pa_max,cantera_temperature_k_min,cantera_temperature_k_max,wiebe_temperature_k_min,wiebe_temperature_k_max,cross_model_temperature_k_min,cross_model_temperature_k_max,cantera_h_gas_w_m2_k_min,cantera_h_gas_w_m2_k_max,wiebe_h_gas_w_m2_k_min,wiebe_h_gas_w_m2_k_max,cross_model_h_gas_w_m2_k_min,cross_model_h_gas_w_m2_k_max,cantera_wall_heat_flux_w_m2_min,cantera_wall_heat_flux_w_m2_max,wiebe_wall_heat_flux_w_m2_min,wiebe_wall_heat_flux_w_m2_max,cross_model_wall_heat_flux_w_m2_min,cross_model_wall_heat_flux_w_m2_max
13,0.000240740741,262775.653258,376444.157511,264515.038808,389366.814373,262775.653258,389366.814373,161450.653258,275119.157511,163190.038808,288041.814373,161450.653258,288041.814373,1115.22950603,1256.01204741,1192.42337965,1340.89434619,1115.22950603,1340.89434619,255.261247212,319.64394399,247.363385705,317.35823659,247.363385705,319.64394399,163614.956972,249645.771139,178349.131543,274412.492728,163614.956972,274412.492728
14,0.000259259259,258981.078918,361085.393151,261018.721883,373512.798876,258981.078918,373512.798876,157656.078918,259760.393151,159693.721883,272187.798876,157656.078918,272187.798876,1098.50205734,1243.98048845,1175.3496768,1329.28327632,1098.50205734,1329.28327632,254.289940603,310.748823727,246.565525673,308.407178729,246.565525673,310.748823727,158833.857042,238959.782255,173609.383086,263067.196418,158833.857042,263067.196418
15,0.000277777778,255232.07329,345994.551112,257588.270616,357877.116217,255232.07329,357877.116217,153907.07329,244669.551112,156263.270616,256552.116217,153907.07329,256552.116217,1080.35442301,1231.77815906,1156.77424306,1317.45203707,1080.35442301,1317.45203707,253.520220089,301.888056348,245.978646924,299.460734588,245.978646924,301.888056348,153848.516382,228462.287524,168647.168243,251871.107129,153848.516382,251871.107129
16,0.000296296296,251554.667823,331322.828139,254244.196173,342602.602616,251554.667823,342602.602616,150229.667823,229997.828139,152919.196173,241277.602616,150229.667823,241277.602616,1060.93858903,1219.51699948,1136.84510089,1305.49086555,1060.93858903,1305.49086555,252.50238856,293.152951589,245.180778259,290.601575646,245.180778259,293.152951589,148693.436709,218257.355906,163520.987894,240931.684859,148693.436709,240931.684859
17,0.000314814815,247973.155387,317238.976408,251005.066521,327843.901548,247973.155387,327843.901548,146648.155387,215913.976408,149680.066521,226518.901548,146648.155387,226518.901548,1040.42458375,1207.34037222,1115.72571894,1293.51302559,1040.42458375,1293.51302559,251.226871786,284.650680914,243.984550141,281.923903838,243.984550141,284.650680914,143403.939198,208461.185612,158261.924176,230402.12378,143403.939198,230402.12378
18,0.000333333333,244509.665364,303945.136555,247887.094369,313775.818902,244509.665364,313775.818902,143184.665364,202620.136555,146562.094369,212450.818902,143184.665364,212450.818902,1018.99757596,1195.44121769,1093.59273828,1281.66467867,1018.99757596,1281.66467867,250.239770277,276.515160648,243.106038058,273.539309784,243.106038058,276.515160648,138015.661374,199212.919047,152900.756483,220337.191991,138015.661374,220337.191991
19,0.000351851852,241183.959526,291725.596444,244903.888763,300614.429923,241183.959526,300614.429923,139858.959526,190400.596444,143578.888763,199289.429923,139858.959526,199289.429923,996.853281329,1184.1116906,1070.63294327,1270.14559705,996.853281329,1270.14559705,249.532703952,268.939295602,242.52828307,265.590747129,242.52828307,268.939295602,132563.960107,190707.998574,147467.656413,210885.867084,132563.960107,210885.867084
20,0.00037037037,238013.019583,281427.272747,242066.76531,288688.975086,238013.019583,288688.975086,136688.019583,180102.272747,140741.76531,187363.975086,136688.019583,187363.975086,974.190433694,1173.96118791,1047.03919694,1259.26967435,974.190433694,1259.26967435,249.098175435,262.512031189,242.237795013,258.298802343,242.237795013,262.512031189,127082.879201,183485.721161,141992.003427,202268.806516,127082.879201,202268.806516
21,0.000388888889,235010.119704,273969.203785,239385.009023,279360.538078,235010.119704,279360.538078,133685.119704,172644.203785,138060.009023,178035.538078,133685.119704,178035.538078,951.200599202,1159.37321569,1023.00494921,1249.65172522,951.200599202,1249.65172522,248.928536227,258.640074748,242.222104104,252.736593599,242.222104104,258.640074748,121593.430251,177006.339662,136501.40162,195192.968126,121593.430251,195192.968126
22,0.000407407407,232180.07143,267410.447718,236860.407245,272504.991526,232180.07143,272504.991526,130855.07143,166085.447718,135535.407245,171179.991526,130855.07143,171179.991526,928.060640498,1141.30982476,998.714072964,1233.48331542,928.060640498,1233.48331542,249.011774286,256.233574753,242.465489957,250.170491265,242.465489957,256.233574753,116089.347495,170438.529166,131017.806916,188715.054238,116089.347495,188715.054238
23,0.000425925926,229520.378975,261467.802972,234487.981728,266530.733156,229520.378975,266530.733156,128195.378975,160142.802972,133162.981728,165205.733156,128195.378975,165205.733156,904.932681022,1121.0409731,974.335789359,1214.29365223,904.932681022,1214.29365223,249.331499966,257.331967449,242.948974133,251.453547325,242.948974133,257.331967449,110635.422678,163858.131257,125559.755541,182249.892665,110635.422678,182249.892665
24,0.000444444444,227028.074339,256023.701225,232261.177747,261182.826518,227028.074339,261182.826518,125703.074339,154698.701225,130936.177747,159857.826518,125703.074339,159857.826518,881.964525317,1099.19180772,950.018886952,1193.07422118,881.964525317,1193.07422118,249.818865579,258.621792683,243.18409158,252.921609084,243.18409158,258.621792683,105249.895096,157306.259461,120142.541233,175823.851874,105249.895096,175823.851874
25,0.000462962963,224699.976638,251006.779846,230173.113808,256335.182414,224699.976638,256335.182414,123374.976638,149681.779846,128848.113808,155010.182414,123374.976638,155010.182414,859.28843142,1076.20418837,925.897153587,1170.38567365,859.28843142,1170.38567365,248.708999413,260.088999297,242.081558893,254.559490307,242.081558893,260.088999297,99949.1935698,150813.051834,114780.149598,169453.621125,99949.1935698,169453.621125
26,0.000481481481,222532.856951,246366.778469,228217.6675,251906.669484,222532.856951,251906.669484,121207.856951,145041.778469,126892.6675,150581.669484,121207.856951,150581.669484,837.020399997,1052.42981365,902.09053759,1146.55359858,837.020399997,1146.55359858,247.976767115,261.719865922,241.400977515,256.3525916,241.400977515,261.719865922,94747.9305481,144402.69616,109485.766159,163152.581338,94747.9305481,163152.581338
27,0.0005,220523.528096,242065.332522,226389.572439,247838.757912,220523.528096,247838.757912,119198.528096,140740.332522,125064.572439,146513.757912,119198.528096,146513.757912,815.259944738,1028.16269495,878.704877749,1121.91497676,815.259944738,1121.91497676,247.576113393,263.501164504,241.082070047,258.287037668,241.082070047,263.501164504,89658.8916725,138095.311119,104271.736966,156932.408271,89658.8916725,156932.408271
28,0.000518518519,218196.80531,238071.711686,224684.424896,244086.552337,218196.80531,244086.552337,116871.80531,136746.711686,123359.424896,142761.552337,116871.80531,142761.552337,794.090288046,1003.66690234,855.831895801,1096.75135409,794.090288046,1096.75135409,247.468989373,265.420273862,241.077413805,260.349766723,241.077413805,265.420273862,84693.0316399,131907.836131,99149.4952323,150803.669874,84693.0316399,150803.669874
29,0.000537037037,215962.126043,234360.267654,222966.408188,240614.329322,215962.126043,240614.329322,114637.126043,133035.267654,121641.408188,139289.329322,114637.126043,139289.329322,773.578923904,979.178084668,833.549424169,1071.30292891,773.578923904,1071.30292891,247.622915754,267.465250244,241.34807863,262.528578575,241.34807863,267.465250244,79859.4865999,125854.199772,94129.4706761,144776.070553,79859.4865999,144776.070553
30,0.000555555556,213887.267756,230907.768027,221030.436385,237393.056751,213887.267756,237393.056751,112562.267756,129582.768027,119705.436385,136068.056751,112562.267756,136068.056751,753.778476669,954.83233598,811.921843202,1045.77613604,753.778476669,1045.77613604,248.00927445,269.624862319,241.861228464,264.812148642,241.861228464,269.624862319,75165.6083896,119944.080889,89220.9972227,138858.553122,75165.6083896,138858.553122
31,0.000574074074,211967.831355,227693.874489,219220.149061,234398.824634,211967.831355,234398.824634,110642.831355,126368.874489,117895.149061,133073.824634,110642.831355,133073.824634,734.727804375,930.774387804,791.00070124,1020.34823283,734.727804375,1020.34823283,248.602916758,271.88859953,242.588675356,267.190015061,242.588675356,271.88859953,70617.0289905,114184.787342,84432.2321237,133059.304526,70617.0289905,133059.304526
32,0.000592592593,210199.670273,224701.258042,217531.16869,231611.750077,210199.670273,231611.750077,108874.670273,123376.258042,116206.16869,130286.750077,108874.670273,130286.750077,716.453257943,907.125768343,770.825489601,995.170492285,716.453257943,995.170492285,249.381744115,274.246658841,243.505939659,269.652545681,243.505939659,274.246658841,66217.7492572,108582.337669,79770.0963483,127385.720829,66217.7492572,127385.720829
33,0.000611111111,208578.816534,221915.133353,215959.91927,229014.181037,208578.816534,229014.181037,107253.816534,120590.133353,114634.91927,127689.181037,107253.816534,127689.181037,698.97003725,883.987553654,751.424542554,970.382886038,698.97003725,970.382886038,250.3262535,276.689916625,244.591374476,272.190890949,244.591374476,276.689916625,61970.2509332,103141.619388,75240.242518,121843.427703,61970.2509332,121843.427703
34,0.00062962963,207101.403778,219322.830681,214503.458878,226589.828351,207101.403778,226589.828351,105776.403778,117997.830681,113178.458878,125264.828351,105776.403778,125264.828351,682.283589991,861.442167781,732.81603037,946.088157362,682.283589991,946.088157362,251.419206117,279.209891111,245.825490146,274.796927874,245.825490146,279.209891111,57875.6285904,97866.4474577,70847.0531024,116435.4249,57875.6285904,116435.4249
35,0.000648148148,205763.60255,216913.434477,213159.317926,224325.056233,205763.60255,224325.056233,104438.60255,115588.434477,111834.317926,123000.056233,104438.60255,123000.056233,666.391000206,839.555332005,715.00901274,922.342597648,666.391000206,922.342597648,252.645332846,281.798699181,247.191150088,277.463199338,247.191150088,281.798699181,53933.7348929,92759.6082092,66593.6685448,111164.284597,53933.7348929,111164.284597
36,0.000666666667,204561.52702,214677.469726,211925.350301,222208.606295,204561.52702,222208.606295,103236.52702,113352.469726,110600.350301,120883.606295,103236.52702,120883.606295,651.282323067,818.377792551,698.004520443,899.21039976,651.282323067,899.21039976,253.991098031,284.449010387,248.673336596,280.182852126,248.673336596,284.449010387,50143.3323451,87822.8940366,62482.0425748,106032.429262,50143.3323451,106032.429262
37,0.000685185185,203491.29465,212606.619734,210799.602325,220231.202391,203491.29465,220231.202391,102166.29465,111281.619734,109474.602325,118906.202391,102166.29465,118906.202391,636.941847417,797.946884754,681.796635236,876.743064494,636.941847417,876.743064494,255.444491724,287.154001692,250.258875778,282.949576226,250.258875778,287.154001692,46502.249527,83057.1269597,58513.0203047,101042.045349,46502.249527,101042.045349
38,0.000703703704,202548.909994,210693.493623,209780.20236,218385.199086,202548.909994,218385.199086,101223.909994,109368.493623,108455.20236,117060.199086,101223.909994,117060.199086,623.349247704,778.28828632,666.373541361,854.98072767,623.349247704,854.98072767,256.994844918,289.90731288,251.9362027,285.757547188,251.9362027,289.90731288,43007.5317697,78462.2045517,54686.4337763,96194.9935042,43007.5317697,96194.9935042
39,0.000722222222,201730.28216,209086.340431,208865.272051,216664.270637,201730.28216,216664.270637,100405.28216,107761.340431,107540.272051,115339.270637,100405.28216,115339.270637,610.480619656,759.417215371,651.718526507,833.953349162,610.480619656,833.953349162,258.63266904,292.703004516,253.695157603,288.601372767,253.695157603,292.703004516,39655.584427,74037.153019,51001.2093433,91492.7261683,39655.584427,91492.7261683
40,0.000740740741,201031.223158,208813.959304,208052.858759,215063.138684,201031.223158,215063.138684,99706.223158,107488.959304,106727.858759,113738.138684,99706.223158,113738.138684,598.309396071,741.340054333,637.810915011,813.681801043,598.309396071,813.681801043,260.349511382,295.535519288,255.526807328,291.476044475,255.526807328,295.535519288,36442.3064011,69780.191456,47455.4815048,86936.2197677,36442.3064011,86936.2197677
41,0.000759259259,200447.454289,208646.037758,207340.88765,213802.326244,200447.454289,213802.326244,99122.454289,107321.037758,106015.88765,112477.326244,99122.454289,112477.326244,586.807141234,724.055472232,624.62692122,794.178878769,586.807141234,794.178878769,262.137816894,298.399646896,257.423287934,294.376894381,257.423287934,298.399646896,33363.2114648,65688.8063865,44046.7083845,82525.9256265,33363.2114648,82525.9256265
42,0.000777777778,199974.618816,208577.70481,206727.131205,213582.524595,199974.618816,213582.524595,98649.618816,107252.70481,105402.131205,112257.524595,98649.618816,112257.524595,575.944228624,707.555694043,612.140415705,775.450249977,575.944228624,775.450249977,263.990846563,301.290492598,259.377665666,297.299557119,259.377665666,301.290492598,30413.5363669,61759.834388,40771.7848523,78261.7412285,30413.5363669,78261.7412285
43,0.000796296296,199608.298678,208604.031533,206209.193525,213451.877368,199608.298678,213451.877368,98283.298678,107279.031533,104884.193525,112126.877368,98283.298678,112126.877368,565.69040886,691.827613344,600.323601346,757.495348516,565.69040886,757.495348516,265.902542193,304.203449337,261.383814114,300.239936899,261.383814114,304.203449337,27588.335197,57989.5498642,37627.1501601,74143.0015301,27588.335197,74143.0015301
44,0.000814814815,199344.033629,208720.062434,205784.506691,213406.976732,199344.033629,213406.976732,98019.033629,107395.062434,104459.506691,112081.976732,98019.033629,112081.976732,556.01527798,676.853799525,589.147599837,740.30821661,556.01527798,740.30821661,267.867449988,307.134173266,263.436305887,303.194179188,263.436305887,307.134173266,24882.5604241,54373.7545772,34608.8878389,70168.488622,24882.5604241,70168.488622
45,0.000833333333,199177.341443,208920.844754,205450.336516,213444.249178,199177.341443,213444.249178,97852.341443,107595.844754,104125.336516,112119.249178,97852.341443,112119.249178,546.88865632,662.613395282,578.582952007,723.878294939,546.88865632,723.878294939,269.880642634,310.078562401,265.53031734,306.158646618,265.53031734,310.078562401,22291.1312047,50907.865972,31712.816399,66336.4571253,22291.1312047,66336.4571253
46,0.000851851852,198408.37894,209201.454633,205203.795244,213559.988848,198408.37894,213559.988848,97083.37894,107876.454633,103878.795244,112234.988848,97083.37894,112234.988848,538.280887203,649.082913133,568.600037334,708.191158853,538.280887203,708.191158853,271.937651172,313.032737954,267.661545081,309.129898685,267.661545081,313.032737954,19808.9893815,47587.0018921,28934.5700579,62644.6722084,19808.9893815,62644.6722084
47,0.00087037037,197692.397046,209557.022527,205041.859055,213750.390642,197692.397046,213750.390642,96367.397046,108232.022527,103716.859055,112425.390642,96367.397046,112425.390642,530.163073578,636.236931225,559.169419422,693.229198395,530.163073578,693.229198395,274.034405463,315.993028908,269.826133117,312.104674756,269.826133117,315.993028908,17431.1467038,44406.0598283,26269.6692732,59090.4569609,17431.1467038,59090.4569609
48,0.000888888889,197080.991669,209982.753963,204709.637157,214011.582074,197080.991669,214011.582074,95755.991669,108657.753963,103384.637157,112686.582074,95755.991669,112686.582074,522.507251874,624.048693355,550.262124918,678.972240087,522.507251874,678.972240087,276.16718246,318.955958219,272.02060954,315.079879955,272.02060954,318.955958219,15152.7210438,41359.7893798,23713.5812844,55670.745963,15152.7210438,55670.745963
49,0.000907407407,196569.80877,210473.947445,204052.878675,214339.653137,196569.80877,214339.653137,95244.80877,109148.947445,102727.878675,113014.653137,95244.80877,113014.653137,515.286517279,612.490619612,541.84986364,665.398109232,515.286517279,665.398109232,278.332561352,321.918231029,274.241831759,318.052573501,274.241831759,321.918231029,12968.9643769,38442.8571202,21261.7711688,52382.1421858,12968.9643769,52382.1421858
50,0.000925925926,196154.565224,211026.009942,203483.638153,214730.683709,196154.565224,214730.683709,94829.565224,109701.009942,102158.638153,113405.683709,94829.565224,113405.683709,508.475109681,601.534735055,533.905197588,652.483131188,508.475109681,652.483131188,280.5273848,324.876724662,276.486939218,321.019959109,276.486939218,324.876724662,10875.2839908,35654.6588736,18909.744121,49220.9747557,10875.2839908,49220.9747557
51,0.000944444444,195831.051436,211634.469803,202999.23172,215180.76826,195831.051436,215180.76826,94506.051436,110309.469803,101674.23172,113855.76826,94506.051436,113855.76826,502.048466548,591.15302438,526.401666153,640.202565229,502.048466548,640.202565229,282.748725511,327.828480095,278.753312239,323.979377131,278.753312239,327.828480095,8867.25767744,32986.5173315,16653.0797836,46183.355571,8867.25767744,46183.355571
52,0.000962962963,195595.135444,212294.987298,202596.93123,215686.037748,195595.135444,215686.037748,94270.135444,110969.987298,101271.93123,114361.037748,94270.135444,114361.037748,495.983249123,581.317720733,519.313874295,628.531018148,495.983249123,628.531018148,284.993857479,330.770694614,281.038539337,326.92829812,281.038539337,330.770694614,6940.64388775,30431.2427297,14487.4595062,43265.2332209,6940.64388775,43265.2332209
53,0.000981481481,195442.767742,213003.363009,202273.963045,216242.678725,195442.767742,216242.678725,94117.767742,111678.363009,100948.963045,114917.678725,94117.767742,114917.678725,490.257347334,572.001536685,512.617549869,617.442761515,490.257347334,617.442761515,287.260231299,333.700715501,283.340386666,329.864317542,283.340386666,333.700715501,5091.38772206,27983.7009526,12408.6874153,40462.4430888,5091.38772206,40462.4430888
54,0.001,195369.986235,213755.544299,202027.514577,216846.949586,195369.986235,216846.949586,94044.986235,112430.544299,100702.514577,115521.949586,94044.986235,115521.949586,484.84986806,563.177845044,506.289575028,606.912014054,484.84986806,606.912014054,289.545453029,336.616034537,285.65677307,332.785151389,285.65677307,336.616034537,3315.62352691,25638.8804028,10412.7059625,37770.752907,3315.62352691,37770.752907
55,0.001018518519,195372.920836,214547.630088,201854.743169,217495.194332,195372.920836,217495.194332,94047.920836,113222.630088,100529.743169,116170.194332,94047.920836,116170.194332,479.741110594,554.820816657,500.307997169,596.913177675,479.741110594,596.913177675,291.847266073,339.51428318,287.985748998,335.688632544,287.985748998,339.51428318,1609.67476479,23391.9137107,8495.60696211,35185.9033585,1609.67476479,35185.9033585
56,0.001037037037,195447.797466,215375.874137,201752.78632,218183.85516,195447.797466,218183.85516,94122.797466,114050.874137,100427.78632,116858.85516,94122.797466,116858.85516,474.912532525,546.905521779,494.652026669,587.421031492,474.912532525,587.421031492,294.1635357,342.393228281,290.325478775,338.572708005,290.325478775,342.393228281,-29.948271053,21238.094221,6653.63988706,32703.6430316,-29.948271053,32703.6430316
57,0.001055555556,195590.942538,216212.972087,201718.772473,218885.948861,195590.942538,218885.948861,94265.942538,114887.972087,100393.772473,117560.948861,94265.942538,117560.948861,470.348760633,539.413741399,489.306196737,578.410888291,470.348760633,578.410888291,296.492236196,345.219678386,292.674225709,341.404527157,292.674225709,345.219678386,-1605.69935849,19173.6065721,4884.2003323,30320.5957448,-1605.69935849,30320.5957448
58,0.001074074074,195712.991932,216943.798192,201664.672371,219487.43929,195712.991932,219487.43929,94387.991932,115618.798192,100339.672371,118162.43929,94387.991932,118162.43929,466.040309066,532.365042076,484.268078354,569.917109817,466.040309066,569.917109817,298.71477983,347.845263968,294.914692867,344.03687111,294.914692867,347.845263968,-3116.58605785,17199.9070815,3188.56067796,28039.3932749,-3116.58605785,28039.3932749
59,0.001092592593,195778.016051,217566.31949,201555.821794,219986.601553,195778.016051,219986.601553,94453.016051,116241.31949,100230.821794,118661.601553,94453.016051,118661.601553,461.96623419,525.730915224,479.512918738,561.925345021,461.96623419,561.925345021,300.785242199,350.269769543,297.001988393,346.469945248,297.001988393,350.269769543,-4565.33414666,15313.2968118,1563.59070802,25856.4814789,-4565.33414666,25856.4814789
60,0.001111111111,195793.858811,218093.682938,201400.936588,220396.641348,195793.858811,220396.641348,94468.858811,116768.682938,100075.936588,119071.641348,94468.858811,119071.641348,458.106883178,519.475859308,475.016411194,554.392715448,458.106883178,554.392715448,302.717029416,352.512729608,298.950066286,348.723456298,298.950066286,352.512729608,-5955.03872242,13509.0442504,5.722968369,23766.9449033,-5955.03872242,23766.9449033
61,0.00112962963,195767.535685,218537.668365,201207.667407,220729.293662,195767.535685,220729.293662,94442.535685,117212.668365,99882.667407,119404.293662,94442.535685,119404.293662,454.44509746,513.568558518,470.757346416,547.281394072,454.44509746,547.281394072,304.522334336,354.591759417,300.771517582,350.815086034,300.771517582,354.591759417,-7288.59905641,11782.7263774,-1488.38688222,21766.1246012,-7288.59905641,21766.1246012
62,0.001148148148,195705.286328,218908.820319,200982.73973,220994.982586,195705.286328,220994.982586,94380.286328,117583.820319,99657.73973,119669.982586,94380.286328,119669.982586,450.965802173,507.981260327,466.717104254,540.55785142,450.965802173,540.55785142,306.212251075,356.522746784,302.477728397,352.760710968,302.477728397,356.522746784,-8568.73822606,10130.2027601,-2921.88019235,19849.6074634,-8568.73822606,19849.6074634
63,0.001166666667,195612.704778,219216.571239,200732.073144,221202.96606,195612.704778,221202.96606,94287.704778,117891.571239,99407.073144,119877.96606,94287.704778,119877.96606,447.655675223,502.689303502,462.87924269,534.192233133,447.655675223,534.192233133,307.796900568,358.320027485,304.079016994,354.574599617,304.079016994,358.320027485,-9798.01920567,8547.60529874,-4297.71267021,18013.2149873,-9798.01920567,18013.2149873
64,0.001185185185,195494.796317,219469.354957,200460.882179,221361.466221,195494.796317,221361.466221,94169.796317,118144.354957,99135.882179,120036.466221,94169.796317,120036.466221,444.502878046,497.670664282,459.22916347,528.157839142,444.502878046,528.157839142,309.285524613,359.996544577,305.584752774,356.269588921,305.584752774,359.996544577,-10978.858523,7031.30905267,-5618.66944754,16252.9918671,-10978.858523,16252.9918671
65,0.001203703704,195356.042564,219674.710439,200173.773707,221477.786224,195356.042564,221477.786224,94031.042564,118349.710439,98848.773707,120152.786224,94031.042564,120152.786224,441.496835255,492.905597502,455.753838538,522.430725371,441.496835255,522.430725371,310.68657381,361.563992401,307.003462002,357.85724148,307.003462002,361.563992401,-12113.5380032,5577.91264733,-6887.37824999,14565.1946613,-12113.5380032,14565.1946613
